Date,Word,Clue,Character Count,Fixed Word,Spaced Word,GLiNER Labels,Multi Word,POS Tag,Lemmatized Word
2021-08-15,ice,Word before cap or pop,3,ice.,Ice,['Music (0.75)'],SINGLE-WORD,NOUN,ice
2021-05-21,iamlegend,"2007 film with the tagline ""The last man on earth is not alone""",9,iamlegend.,I Am Legend,"['Literature (0.63)', 'History (0.55)']",MULTI-WORD,NOUN,I
2021-07-17,wiping,Clearing,6,wiping.,Wiping,"['Music (0.67)', 'History (0.66)', 'Science (0.63)']",SINGLE-WORD,VERB,wipe
2021-08-23,parry,"Ward off, as a sword",5,parry.,Parry,"['History (0.69)', 'Music (0.56)']",SINGLE-WORD,PROPN,Parry
2021-05-30,betas,Test versions,5,betas.,Betas,"['Music (0.65)', 'History (0.64)', 'Science (0.60)']",SINGLE-WORD,PROPN,Betas
2021-01-20,collisions,Subjects of some insurance company reports,10,collisions.,Collisions,"['History (0.84)', 'Science (0.82)', 'Literature (0.53)']",SINGLE-WORD,NOUN,collision
2021-02-03,pubs,Some trivia venues,4,pubs.,Pubs,"['Music (0.74)', 'History (0.68)', 'Literature (0.60)']",SINGLE-WORD,NOUN,pub
2021-09-04,listless,Needing a jolt,8,listless.,Listless,"['Music (0.65)', 'Literature (0.58)', 'History (0.58)']",SINGLE-WORD,ADJ,listless
2021-07-28,otto,Palindromic guy's name,4,otto.,Otto,['Person (0.95)'],SINGLE-WORD,PROPN,Otto
2021-02-19,orelse,Threatening words,6,orelse.,Or Else,"['Literature (0.67)', 'History (0.60)', 'Music (0.58)']",MULTI-WORD,ADV,or
